name,position,draft_year,college,time_period,difficulty,image_url
Justin Gilbert,DB,,Oklahoma State,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/5/53/Justin_Gilbert_2014_Browns_training_camp_%283%29.jpg
Dee Milliner,DB,,Alabama,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/2/20/DeMarcus_Milliner_at_Alabama.jpg
Stephon Gilmore,,,South Carolina,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/f/f2/Stephon_Gilmore_WFT-Panthers_NOV2021_%28cropped%29.jpg
Darius Slay,,,Mississippi State,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/c/c0/Darius_Slay_On_January_1_2017_%28cropped%29.jpg
Xavien Howard,,,Baylor,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/0/07/Xavien_Howard_at_2022_Pro_Bowl.png
James Bradberry,,,Samford,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/d/d9/James_Bradberry_Giants_SEPT2021_%28cropped%29.jpg
Carlton Davis,,,Auburn,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/1/19/Carlton_Davis_%2850833222407%29_%28cropped%29.jpg
Asante Samuel,,,UCF,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/d/d1/Asante-Samuel-2008-Camp-Military-Appreciation.jpg
Nnamdi Asomugha,,,California,2000s,hard,https://upload.wikimedia.org/wikipedia/commons/f/fb/Nnamdi_Asomugha_in_2009.jpg
Champ Bailey,,,Georgia,1990s,medium,https://upload.wikimedia.org/wikipedia/commons/a/ae/Champ_Bailey_2010.JPG
Charles Woodson,,,Michigan,1990s,easy,https://upload.wikimedia.org/wikipedia/commons/6/63/Charles_Woodson_2014_2.JPG
Ty Law,,,Michigan,1990s,medium,https://upload.wikimedia.org/wikipedia/commons/b/b0/Ty_Law.JPG
Darrell Green,,,Texas A&I,1980s,extreme (touch grass),https://upload.wikimedia.org/wikipedia/commons/a/a1/Darrell_Green_49ers_at_Redskins_2019_%2848933295231%29_%28cropped%29.jpg
Deion Sanders,,,Florida State,1980s,easy,https://upload.wikimedia.org/wikipedia/commons/9/9f/Deion_Sanders_%288216060%29_%28cropped%29.jpg
Ronde Barber,,,Virginia,1970s,medium,https://upload.wikimedia.org/wikipedia/commons/e/ea/Ronde_Barber.JPG
Brian Dawkins,,,Clemson,1990s,easy,https://upload.wikimedia.org/wikipedia/commons/8/88/Brian_Dawkins_Philly_HOF_%28cropped%29.jpg
Ed Reed,,,Miami,2000s,easy,https://upload.wikimedia.org/wikipedia/commons/b/bb/Ed_Reed_by_Gage_Skidmore.jpg
Troy Polamalu,,,USC,2000s,easy,https://upload.wikimedia.org/wikipedia/commons/2/28/Troy_Polamalu_2013_%28cropped%29.jpg
Earl Thomas,,,Texas,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/5/5f/Earl_Thomas_vs._Redskins_2014_Cropped.jpg
Kam Chancellor,,,Virginia Tech,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/9/99/Kam_Chancellor_2014_2.jpg
Eric Berry,,,Tennessee,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/2/24/Eric_Berry.JPG
Malcolm Jenkins,,,Ohio State,2000s,medium,https://upload.wikimedia.org/wikipedia/commons/b/bd/Malcolm_Jenkins_2014.jpg
Tyrann Mathieu,,,LSU,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/0/04/Tyrann_Mathieu_Chiefs_OCT2021_%28cropped%29.jpg
Landon Collins,,,Alabama,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/b/bb/Landon_Collins_2021.jpg
Jamal Adams,,,LSU,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/d/d1/2025_Raiders_at_Commanders_Jamal_Adams_%28cropped%29.jpg
Kevin Byard,,,Middle Tennessee State,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/e/e1/Kevin_Byard.jpg
Harrison Smith,,,Notre Dame,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/7/7d/Harrison_Smith_%28American_football%29.JPG
Budda Baker,,,Washington,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/5/55/Budda_Baker_on_FanDuel_TV_FEB2023_%28cropped%29.png
Antoine Winfield Jr.,,,Minnesota,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/4/45/Antoine_Winfield_Jr_WFT-Buccaneers_NOV2021_%28cropped%29.jpg
Kyle Hamilton,,,Notre Dame,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/3/30/Kyle_Hamilton_%2853880437431%29.jpg
Jaquan Brisker,,,Penn State,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/f/fb/Jaquan_Brisker.png
Justin Tucker,,,Texas,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/1/18/Justin_Tucker_JUL2024_%2853880733153%29.jpg
Wil Lutz,,,Georgia State,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/c/c4/Wil_Lutz.png
Jake Elliott,,,Memphis,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/5/57/Jake_Elliott_-_April_2025_Philadelphia_Eagles_Visit_ANC_%28cropped%29.jpg
Matt Prater,,,Central Florida,2000s,hard,https://upload.wikimedia.org/wikipedia/commons/3/38/Matt_Prater_2012.JPG
Adam Vinatieri,,,South Dakota State,1990s,extreme (touch grass),https://upload.wikimedia.org/wikipedia/commons/d/dd/Rigoberto_Sanchez%2C_Adam_Vinatieri_%2844679700592%29_%28cropped%29.jpg
Stephen Gostkowski,,,Memphis,2000s,hard,https://upload.wikimedia.org/wikipedia/commons/a/a1/Stephen_Gostkowski_9_27_2020.jpg
Mason Crosby,,,Colorado,2000s,hard,https://upload.wikimedia.org/wikipedia/commons/0/02/Mason_crosby_2010.jpg
Sebastian Janikowski,,,Florida State,2000s,hard,https://upload.wikimedia.org/wikipedia/commons/d/d4/Sebastian_Janikowski.JPG
Kirk Cousins,,,Michigan State,2010s,easy,https://upload.wikimedia.org/wikipedia/commons/f/fa/Cousins_2022.jpg
Ryan Tannehill,,,Texas A&M,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/2/25/Ryan_Tannehill_2021_09-19.jpg
Jimmy Garoppolo,,,Eastern Illinois,2010s,hard,https://upload.wikimedia.org/wikipedia/commons/8/83/Raiders_QB_visits_Nellis_Airmen_%281%29_%28cropped%29.jpg
Matthew Stafford,,,Georgia,2000s,easy,https://upload.wikimedia.org/wikipedia/commons/5/53/Stafford_6_731_%28cropped3%29.jpg
Philip Rivers,,,NC State,2000s,hard,https://upload.wikimedia.org/wikipedia/commons/3/3d/Philip_Rivers_Indianapolis_Colts_Helmet.jpg
Ben Roethlisberger,,,Miami (OH),2000s,hard,https://upload.wikimedia.org/wikipedia/commons/9/96/Ben_Roethlisberger_%2851654680119%29_%28cropped%29.jpg
Cam Newton,,,Auburn,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/8/87/Cam_Newton_2021_WFT_vs_CAR_%28cropped%29.jpg
Andrew Luck,,,Stanford,2010s,medium,https://upload.wikimedia.org/wikipedia/commons/8/80/Andrew_Luck_vs._Redskins_2018.jpg
Carson Palmer,,,USC,2000s,medium,https://upload.wikimedia.org/wikipedia/commons/7/7f/Carson_Palmer_2015.JPG
Isiah Pacheco,,,Rutgers,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/e/ec/POPCC_%28cropped%29.png
Rachaad White,,,Arizona State,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/1/1b/Buccaneers_RB_Rachaad_White_-_Front_Office_Sports_Interview.png
Tyler Allgeier,,,BYU,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/1/16/Tyler_Allgeier.png
Dameon Pierce,,,Florida,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/e/ea/Dameon_Pierce_%28cropped%29.jpg
James Cook,,,Georgia,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/7/76/Captainjamescookportrait.jpg
Jerome Ford,,,Cincinnati,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/9/9b/Jerome_Ford_%2852340583231%29_%28cropped%29.jpg
Zamir White,,,Georgia,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/9/99/Zamir_White.jpg
Kyren Williams,,,Notre Dame,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/8/8c/2025_FanDuel_Super_Bowl_LIX_Winner_Poll_-_Kyren_Williams_%28cropped%29.png
Tyjae Spears,,,Tulane,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/2/26/2024_GB_vs_TEN_Tyjae_Spears_%28cropped%29.png
Tank Bigsby,,,Auburn,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/f/f2/Tank_Bigsby_interview.png
Zach Charbonnet,,,UCLA,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/a/af/Zach_Charbonnet_2019.09.07_%2848870334696%29_%28cropped%29.jpg
De'Von Achane,,,Texas A&M,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/0/0a/2024_FanDuel_Interview_De%27Von_Achane_%28cropped%29.png
Kendre Miller,,,TCU,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/6/61/Saints_vs._Bills_September_28%2C_2025.png
Puka Nacua,,,BYU,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/c/c8/Puka_Nacua_FanDuel_Interview_%28cropped%29.png
Rashee Rice,,,SMU,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/5/5d/2024_ATL_vs_KC_Pregame_Rashee_Rice_%28cropped%29.png
Zay Flowers,,,Boston College,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/d/dd/Zay_Flowers_JUL2024_%2853880447586%29.jpg
Quentin Johnston,,,TCU,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/2/2c/2024_FanDuel_Interview_Quentin_Johnston_%28cropped%29.png
Jaxon Smith-Njigba,,,Ohio State,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/f/f3/Jaxon_Smith-Njigba_FanDuel_Interview_%28cropped%29.png
Tank Dell,,,Houston,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/d/d5/Tank_Dell_%28LLaeTUnN79o%29_%28cropped%29.png
Jalin Hyatt,,,Tennessee,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/4/4a/Jalin_Hyatt.jpg
Cooper DeJean,,,Iowa,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/1/11/Philadelphia_Eagles_Visit_ANC_Blankenship%2C_DeJean_%28cropped%29.jpg
Rome Odunze,,,Washington,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/d/d3/2024-0106-Rome_Odunze.jpg
Marvin Harrison Jr.,,,Ohio State,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/a/ae/Marvin_Harrison_Jr_2022_no_helmet_%28cropped%29.jpg
Malik Nabers,,,LSU,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/9/90/Malik_Nabers_Giants_week_1_2025.jpg
Keon Coleman,,,Florida State,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/3/34/Keon_Coleman_%28250321-A-GH690-3593%29_%28cropped%29.jpg
Xavier Worthy,,,Texas,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/d/d5/Xavier_Worthy_Chiefs_Training_Camp_2025_%28cropped%29.jpg
Ladd McConkey,,,Georgia,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/f/f6/Ladd_McConkey_2024.png
Ricky Pearsall,,,Florida,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/8/8c/Ricky_Pearsall_Senior_Bowl.png
Brian Thomas Jr.,,,LSU,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/3/35/Brian_Thomas_Jr_%28cropped%29.jpg
Brock Bowers,,,Georgia,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/9/93/Brock_Bowers_%282025%29.jpg
Trey McBride,,,Colorado State,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/0/05/2024_FanDuel_Interview_Trey_McBride_%28cropped%29.png
Cade Otton,,,Washington,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/d/d6/Cade_Otton_%2853988919941%29_%28cropped%29.jpg
Cole Kmet,,,Notre Dame,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/7/76/Cole_Kmet_visits_KMC%2C_hosts_youth_football_camp_%28A-Roll%29.png
Will Anderson Jr.,,,Alabama,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/b/b5/Will_Anderson_Jr._NFL_Combine_%28cropped%29.png
Jalen Carter,,,Georgia,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/f/f0/Jalen_Carter_030825.jpg
Tyree Wilson,,,Texas Tech,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/9/97/Tyree_Wilson_NFL_Combine_%28cropped%29.png
Lukas Van Ness,,,Iowa,2020s,hard,https://upload.wikimedia.org/wikipedia/commons/f/f4/Lukas_Van_Ness_at_Fisher_House_%2854440447927_-2%29.jpg
Mazi Smith,,,Michigan,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/9/95/Mazi_Smith_U.S._Army_Soldiers_take_part_in_the_USAA_Salute_to_Service_Boot_Camp_%2812%29_%28cropped%29.jpg
Bryan Bresee,,,Clemson,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/7/7d/Bryan_Bresee_NFL_Combine_%28cropped%29.png
Aidan Hutchinson,,,Michigan,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/5/5f/Aidan_Hutchinson.jpg
Travon Walker,,,Georgia,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/f/f1/Travon_Walker_Commanders_vs_Jaguars_SEP2022_%28cropped%29.jpg
Kayvon Thibodeaux,,,Oregon,2020s,easy,https://upload.wikimedia.org/wikipedia/commons/a/aa/Kayvon_Thibodeaux.png
George Karlaftis,,,Purdue,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/e/e3/George_Karlaftis.jpg
David Ojabo,,,Michigan,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/d/db/David_Ojabo_2021.jpg
Payton Turner,,,Houston,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/7/75/Payton_Turner_2021_%28cropped%29.jpg
Kwity Paye,,,Michigan,2020s,medium,https://upload.wikimedia.org/wikipedia/commons/5/5f/Kwity_Paye_2018.jpg
